Date,Year,Month,Circle,Monument,Domestic_Visitors,Foreign_Visitors
2010-01-01,2010,January,Agra,Taj Mahal,255779,37267
2010-01-01,2010,January,Agra,Agra Fort,110830,26327
2010-01-01,2010,January,Agra,Fatehpur Sikri,29159,11856
2010-01-01,2010,January,Agra,Akbar Tomb Sikandra,14163,1212
2010-01-01,2010,January,Agra,Mariam tomb Sikandra,1211,22
2010-01-01,2010,January,Agra,Itimad-ud-Daulah-Tomb,7145,4449
2010-01-01,2010,January,Agra,Ram Bagh,4374,18
2010-01-01,2010,January,Agra,Mehtab Bagh,11891,4150
2010-01-01,2010,January,Agra,Mausoleum,29331,774
2010-01-01,2010,January,Lucknow,Site of Sahet mahet,4755,868
2010-01-01,2010,January,Lucknow,Residency Building,5976,172
2010-01-01,2010,January,Lucknow,Piprahwa & Ganwaria,2624,212
2010-01-01,2010,January,Jhansi,"Gupta Temple & Varah Temple, Deogarh",88,2
2010-01-01,2010,January,Jhansi,Kalinjar Fort,4468,7
2010-01-01,2010,January,Jhansi,Rani Lakshmi Bai Mahal,865,2
2010-01-01,2010,January,Jhansi,Rani Jhansi Fort,19618,38
2010-01-01,2010,January,Sarnath,Lord Cornwallis Tomb,1034,4
2010-01-01,2010,January,Sarnath,"Old Fort (Shahi Fort), Jaunpur",12023,6
2010-01-01,2010,January,Sarnath,Observatory of Man Singh,4881,56
2010-01-01,2010,January,Sarnath,Excavated Remains at sarnath,27294,5657
2010-01-01,2010,January,Sarnath,Tomb of Lal Khan,422,0
2010-01-01,2010,January,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,2950,277
2010-01-01,2010,January,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",18837,40
2010-01-01,2010,January,Thrissur,mattancherry Palace Museum Kochi,17305,4570
2010-01-01,2010,January,Thrissur,"Fort, Palakkad, Palakkad",10337,14
2010-01-01,2010,January,Thrissur,"Fort St. Angelo, Kannur",15274,215
2010-01-01,2010,January,Chennai,Group of Monuments Mamallapuram,68808,2916
2010-01-01,2010,January,Chennai,"Gingee Fort , Gingee",6451,104
2010-01-01,2010,January,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",2696,65
2010-01-01,2010,January,Tiruchirappalli,"Fort on Rock, Dindigual",1278,4
2010-01-01,2010,January,Tiruchirappalli,"Moovarkoil, Kodumbalur",1183,2
2010-01-01,2010,January,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",1723,10
2010-01-01,2010,January,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,1567,23
2010-01-01,2010,January,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",1629,43
2010-01-01,2010,January,Tiruchirappalli,"Fort Museum, Thirumayam",20160,359
2010-01-01,2010,January,Tiruchirappalli,Fort Vattakottai,10454,22
